Property Zip Code,Owner Type,Owner State,Homestead,Homestead Percent,HomeSEV,Land Value,Land Improvements Value,Residential Building Value,Residential Building Style,Commercial Building Value,Building Storeys,Parcel Acres,Rental,Use Type,Prop Class,Old Prop class,Year Built,USPS Vacancy,Zoning,Future Landuse,DRAFT Zone,Housing Condition 2012,Housing Condition 2014,Commercial Condition 2013,Latitude,Longitude,Hydrant Type,Ward,PRECINCT,CENTRACT,CENBLOCK,SL_Type,SL_Type2,Ed_July,Ed_March,Last_Test,Max_Lead,Med_Lead,Num_Tests,Res_Test,Sen_Test,SL_private_inspection,B_median_age_all_women,B_median_age_all_men,B_median_age_all,B_median_age_all_women_white,B_median_age_all_men_white,B_median_age_all_white,B_median_age_all_women_black,B_median_age_all_men_black,B_median_age_all_black,B_total_black_pop,B_total_white_pop,B_married_couples,B_single_women,B_married_couples_white,B_single_women_white,B_married_couples_black,B_single_women_black,B_married_couples_w_children,B_single_mothers_w_children,B_households_w_elderly,B_househod_no_elderly,B_aggregate_income,B_speak_spanish,B_speak_only_english,B_no_english,B_hispanic_household,B_imputed_rent,B_imputed_value,sl_private_type,sl_public_type
48504.0,Private,MI,No,0.0,0,1350,0,13064,ONE STORY,0.0,0,0.114,Yes,Residential,RI,RI,1946,N,A2,Green Neighborhood,GN-1,Good,Good, ,43.044443,-83.69262599999998,Other,2,26,900,3,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,Copper,46.3,52.2,50.7,51.5,48.5,49.0,41.5,54.2,48.4,921,105,132,60,19,8,113,52,10,84,183,181,881600.0,24,474,0,2.0,218.0,310.0,COPPER,COPPER
48503.0,Private,MI,Yes,100.0,12500,5039,0,97029,ONE STORY,0.0,0,0.11,No,Residential,RI,RI,1947,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,42.996415,-83.731211,A.D.,8,50,3600,4,1,0,0.0,0.0,MAR2016,0.0,0.0,9.0,1.0,1.0,Copper,28.1,33.6,31.6,34.7,35.1,34.8,25.4,-1.0,25.9,318,873,126,167,126,84,0,73,33,146,100,492,27821300.0,0,1038,0,16.0,99.0,435.0,COPPER,COPPER
48505.0,Private,MI,Yes,100.0,0,680,0,33068,ONE STORY,0.0,0,0.092,No,Residential,RI,RI,1951,N,A2,Mixed Residential,MR-1,Good,Good, ,43.059698,-83.695308,Dar,1,5,600,4,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,29.2,21.8,28.8,-1.0,50.5,50.5,28.9,21.6,28.4,570,9,22,72,0,0,22,72,10,27,88,107,-1.0,1,284,0,10.0,131.0,203.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,27700,1200,0,45141,ONE STORY,0.0,0,0.184,No,Residential,RI,RI,1959,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.04524,-83.72171999999998,T.C.,2,10,900,3,1,0,0.0,0.0,JUL2016,1.0,0.0,1.0,1.0,0.0,None,46.3,52.2,50.7,51.5,48.5,49.0,41.5,54.2,48.4,921,105,132,60,19,8,113,52,10,84,183,181,881600.0,24,474,0,2.0,218.0,310.0,COPPER,COPPER
48504.0,Private,FL,No,0.0,0,750,0,18059,CAPECOD,0.0,0,0.115,No,Residential,RI,RI,1952,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.040439,-83.730161,A.D.,2,12,900,1,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,40.8,46.3,44.4,59.5,52.6,59.2,35.6,44.6,41.9,630,64,125,75,23,0,102,75,10,31,82,227,1839300.0,9,415,0,5.0,149.0,164.0,COPPER,COPPER
48503.0,Private,MI,Yes,100.0,0,822,6,11274,TWO STORY,0.0,0,0.138,Yes,Residential,RI,RI,1916,N,B,Green Neighborhood,GN-1,Fair,Good, ,43.0269,-83.67848599999998,T.C.,7,43,2600,1,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,52.9,43.3,49.6,53.3,43.5,49.6,-1.0,-1.0,-1.0,0,300,48,24,48,24,0,0,8,9,65,111,5102000.0,0,280,0,51.0,147.0,82.0,COPPER,LEAD
48504.0,Private,MI,Yes,100.0,0,2250,0,35718,ONE STORY,0.0,0,0.115,No,Residential,RI,RI,1925,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.023216,-83.72214199999998,Other,6,36,1300,3,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,28.8,30.1,29.4,37.6,-1.0,37.6,19.4,30.8,29.3,622,66,93,106,0,0,93,95,21,73,26,212,,0,453,0,11.0,88.0,182.0,GALVANIZED,LEAD
48506.0,Private,MI,Yes,100.0,0,820,0,56589,ONE STORY,0.0,0,0.096,No,Residential,RI,RI,1927,N,C1,Green Neighborhood,GN-1,Good,Good, ,43.02774,-83.66456099999998,Other,4,44,2600,4,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,23.2,46.0,38.2,50.6,49.0,50.5,6.9,32.1,23.5,146,240,79,0,79,0,0,0,29,22,63,156,4527200.0,10,301,0,36.0,133.0,143.0,COPPER,LEAD
48503.0,Private,,Yes,100.0,0,4600,0,16069,TWO STORY,0.0,0,0.092,Yes,Residential,RI,RI,1921,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.001405,-83.72900600000001,Dar,8,48,3600,4,0,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,28.1,33.6,31.6,34.7,35.1,34.8,25.4,-1.0,25.9,318,873,126,167,126,84,0,73,33,146,100,492,27821300.0,0,1038,0,16.0,99.0,435.0,COPPER,LEAD
48503.0,Private,MI,Yes,100.0,0,29250,0,195889,TWO STORY,0.0,0,0.149,Yes,Residential,RI,RI,1939,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.015437,-83.66939699999998,Dar,7,42,3000,3,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,44.8,36.4,37.9,50.7,48.1,48.5,11.0,33.5,21.4,372,1101,233,129,196,71,24,58,102,99,283,493,33941100.0,9,972,0,24.0,85.0,195.0,COPPER,LEAD
